Starting Implied Volatility Surface generation...
Maturity,LogMoneyness,IV_Rough,IV_Classical
0.666667,-0.140000,0.234648,0.222479
0.666667,-0.120000,0.233971,0.222054
0.666667,-0.100000,0.233295,0.221619
0.666667,-0.080000,0.232611,0.221171
0.666667,-0.060000,0.231921,0.220722
0.666667,-0.040000,0.231229,0.220288
0.666667,-0.020000,0.230525,0.219849
0.666667,0.000000,0.229533,0.218720
0.666667,0.020000,0.228849,0.218283
0.666667,0.040000,0.228167,0.217837
0.666667,0.060000,0.227475,0.217390
0.666667,0.080000,0.226773,0.216947
0.666667,0.100000,0.226079,0.216521
0.666667,0.120000,0.225391,0.216080
0.666667,0.140000,0.224696,0.215620
0.666667,0.160000,0.223988,0.215153
0.666667,0.180000,0.223265,0.214690
0.666667,0.200000,0.222543,0.214224
0.750000,-0.200000,0.239265,0.225957
0.750000,-0.180000,0.238590,0.225479
0.750000,-0.160000,0.237916,0.225007
0.750000,-0.140000,0.237239,0.224532
0.750000,-0.120000,0.236566,0.224047
0.750000,-0.100000,0.235914,0.223569
0.750000,-0.080000,0.235265,0.223086
0.750000,-0.060000,0.234606,0.222602
0.750000,-0.040000,0.233948,0.222104
0.750000,-0.020000,0.233281,0.221598
0.750000,0.000000,0.231776,0.221428
0.750000,0.020000,0.231118,0.220933
0.750000,0.040000,0.230462,0.220447
0.750000,0.060000,0.229799,0.219965
0.750000,0.080000,0.229130,0.219493
0.750000,0.100000,0.228451,0.219020
0.750000,0.120000,0.227774,0.218548
0.750000,0.140000,0.227106,0.218065
0.750000,0.160000,0.226444,0.217570
0.750000,0.180000,0.225810,0.217079
0.750000,0.200000,0.225185,0.216604
0.833333,-0.200000,0.240424,0.228318
0.833333,-0.180000,0.239841,0.227860
0.833333,-0.160000,0.239254,0.227409
0.833333,-0.140000,0.238657,0.226955
0.833333,-0.120000,0.238055,0.226497
0.833333,-0.100000,0.237446,0.226043
0.833333,-0.080000,0.236835,0.225588
0.833333,-0.060000,0.236230,0.225118
0.833333,-0.040000,0.235631,0.224653
0.833333,-0.020000,0.235027,0.224165
0.833333,0.000000,0.233936,0.224017
0.833333,0.020000,0.233340,0.223524
0.833333,0.040000,0.232742,0.223022
0.833333,0.060000,0.232145,0.222527
0.833333,0.080000,0.231534,0.222036
0.833333,0.100000,0.230909,0.221555
0.833333,0.120000,0.230288,0.221095
0.833333,0.140000,0.229680,0.220649
0.833333,0.160000,0.229069,0.220198
0.833333,0.180000,0.228452,0.219743
0.833333,0.200000,0.227834,0.219302
0.916667,-0.200000,0.241729,0.230146
0.916667,-0.180000,0.241131,0.229686
0.916667,-0.160000,0.240537,0.229234
0.916667,-0.140000,0.239943,0.228789
0.916667,-0.120000,0.239350,0.228332
0.916667,-0.100000,0.238757,0.227872
0.916667,-0.080000,0.238160,0.227402
0.916667,-0.060000,0.237560,0.226939
0.916667,-0.040000,0.236963,0.226478
0.916667,-0.020000,0.236368,0.226025
0.916667,0.000000,0.235538,0.226670
0.916667,0.020000,0.234965,0.226189
0.916667,0.040000,0.234386,0.225708
0.916667,0.060000,0.233812,0.225239
0.916667,0.080000,0.233240,0.224779
0.916667,0.100000,0.232673,0.224306
0.916667,0.120000,0.232111,0.223825
0.916667,0.140000,0.231553,0.223339
0.916667,0.160000,0.231007,0.222850
0.916667,0.180000,0.230465,0.222371
0.916667,0.200000,0.229920,0.221888
1.000000,-0.200000,0.243568,0.233067
1.000000,-0.180000,0.243008,0.232630
1.000000,-0.160000,0.242436,0.232196
1.000000,-0.140000,0.241867,0.231767
1.000000,-0.120000,0.241304,0.231350
1.000000,-0.100000,0.240746,0.230939
1.000000,-0.080000,0.240190,0.230522
1.000000,-0.060000,0.239630,0.230102
1.000000,-0.040000,0.239056,0.229676
1.000000,-0.020000,0.238477,0.229251
1.000000,0.000000,0.237648,0.228171
1.000000,0.020000,0.237086,0.227732
1.000000,0.040000,0.236515,0.227273
1.000000,0.060000,0.235946,0.226804
1.000000,0.080000,0.235379,0.226339
1.000000,0.100000,0.234821,0.225874
1.000000,0.120000,0.234277,0.225416
1.000000,0.140000,0.233735,0.224972
1.000000,0.160000,0.233196,0.224536
1.000000,0.180000,0.232664,0.224098
1.000000,0.200000,0.232138,0.223663
